playerID,subset,flute,style,technique_name,playing_technique,start,end,file_name
10,validation,G,north,Acciacatura,0,0.154081633,0.359183673,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,1.293877551,1.506122449,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,2.548979592,2.766326531,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,3.801020408,4.016326531,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,5.058163265,5.279591837,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,6.282653061,6.510204082,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,7.480612245,7.714285714,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,8.676530612,8.912244898,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,9.862244898,10.10306122,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,11.03571429,11.29285714,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,12.18367347,12.42653061,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,13.30714286,13.57040816,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,14.52142857,14.81326531,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,15.66122449,15.97857143,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,16.84183674,17.1755102,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,18.04693878,18.39285714,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,19.2244898,19.56428571,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,20.4255102,20.75,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,21.60306122,21.91428571,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,22.82244898,23.13265306,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,23.97346939,24.30408163,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,25.15714286,25.48265306,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,26.34591837,26.66428571,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,27.50612245,27.79693878,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,28.7,29.00510204,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,29.87755102,30.18469388,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,31.01122449,31.35714286,10G_Iso_Acciacatura
10,validation,G,north,Acciacatura,0,32.21632653,32.55102041,10G_Iso_Acciacatura
10,validation,G,north,FT,1,0.499229025,2.379591837,10G_Iso_FT
10,validation,G,north,FT,1,3.259183673,4.985714286,10G_Iso_FT
10,validation,G,north,FT,1,5.908163265,7.546938776,10G_Iso_FT
10,validation,G,north,FT,1,8.391836735,9.944897959,10G_Iso_FT
10,validation,G,north,FT,1,10.86326531,12.55306122,10G_Iso_FT
10,validation,G,north,FT,1,13.41836735,15.05510204,10G_Iso_FT
